stimuli,emotion_stimuli,subject,emotion_subject
koyama_ang_au_cl_2_0,ang,7,ang
iwagami_ang_au_cl_1_0,ang,7,ang
henmi_ang_au_cl_4_0,ang,7,ang
kikuguti_ang_au_cl_1_0,ang,7,ang
sirakura_ang_au_cl_3_0,ang,7,ang
nakatakuma_ang_au_cl_2_0,ang,7,ang
nishio_dis_au_cl_3_0,dis,7,sad
ota_dis_au_cl_1_0,dis,7,dis
koyama_dis_au_cl_2_0,dis,7,sad
iwagami_dis_au_cl_1_0,dis,7,sad
henmi_dis_au_cl_1_0,dis,7,sad
kikuguti_dis_au_cl_4_0,dis,7,ang
sirakura_dis_au_cl_1_0,dis,7,sad
nakatakuma_dis_au_cl_1_0,dis,7,dis
nishio_fea_au_mouth_2_0,fea,7,fea
ota_fea_fr_2_0,fea,7,fea
koyama_fea_fr_2_0,fea,7,sur
iwagami_fea_au_mouth_1_0,fea,7,fea
henmi_fea_au_mouth_2_0,fea,7,fea
kikuguti_fea_au_mouth_1_0,fea,7,fea
sirakura_fea_fr_2_0,fea,7,sur
nakatakuma_fea_fr_1_0,fea,7,sur
nishio_hap_au_du_1_0,hap,7,hap
ota_hap_au_du_1_0,hap,7,hap
koyama_hap_au_du_1_0,hap,7,hap
iwagami_hap_au_du_2_0,hap,7,hap
henmi_hap_au_du_1_0,hap,7,hap
kikuguti_hap_au_du_4_0,hap,7,hap
sirakura_hap_au_du_2_0,hap,7,hap
nakatakuma_hap_au_du_1_0,hap,7,hap
nishio_sad_au_1_0,sad,7,sad
ota_sad_au_mouth_1_0,sad,7,sad
koyama_sad_au_mouth_1_0,sad,7,sad
iwagami_sad_au_mouth_3_0,sad,7,sad
henmi_sad_au_mouth_3_0,sad,7,sad
kikuguti_sad_au_1_0,sad,7,sad
sirakura_sad_au_mouth_1_0_130,sad,7,sad
nakatakuma_sad_au_2_0,sad,7,sad
nishio_sur_au_mouth_2_0,sur,7,hap
ota_sur_fr_1_0,sur,7,sur
koyama_sur_fr_2_0,sur,7,sur
iwagami_sur_au_mouth_2_0,sur,7,sur
henmi_sur_au_mouth_2_0,sur,7,sur
kikuguti_sur_fr_2_0,sur,7,sur
sirakura_sur_fr_1_0,sur,7,sur
nakatakuma_sur_au_mouth_2_0,sur,7,sur
nishio_ang_au_cl_2_0,ang,8,ang
ota_ang_au_cl_1_0,ang,8,dis
koyama_ang_au_cl_2_0,ang,8,sur
iwagami_ang_au_cl_1_0,ang,8,sad
henmi_ang_au_cl_4_0,ang,8,sad
kikuguti_ang_au_cl_1_0,ang,8,ang
sirakura_ang_au_cl_3_0,ang,8,ang
nakatakuma_ang_au_cl_2_0,ang,8,dis
nishio_dis_au_cl_3_0,dis,8,dis
ota_dis_au_cl_1_0,dis,8,ang
koyama_dis_au_cl_2_0,dis,8,dis
iwagami_dis_au_cl_1_0,dis,8,dis
henmi_dis_au_cl_1_0,dis,8,dis
kikuguti_dis_au_cl_4_0,dis,8,dis
sirakura_dis_au_cl_1_0,dis,8,sad
nakatakuma_dis_au_cl_1_0,dis,8,dis
nishio_fea_au_mouth_2_0,fea,8,sur
ota_fea_fr_2_0,fea,8,fea
koyama_fea_fr_2_0,fea,8,ang
iwagami_fea_au_mouth_1_0,fea,8,dis
henmi_fea_au_mouth_2_0,fea,8,fea
kikuguti_fea_au_mouth_1_0,fea,8,sad
sirakura_fea_fr_2_0,fea,8,fea
nakatakuma_fea_fr_1_0,fea,8,sur
nishio_hap_au_du_1_0,hap,8,hap
ota_hap_au_du_1_0,hap,8,hap
koyama_hap_au_du_1_0,hap,8,hap
iwagami_hap_au_du_2_0,hap,8,hap
henmi_hap_au_du_1_0,hap,8,hap
kikuguti_hap_au_du_4_0,hap,8,hap
sirakura_hap_au_du_2_0,hap,8,hap
nakatakuma_hap_au_du_1_0,hap,8,hap
nishio_sad_au_1_0,sad,8,sad
ota_sad_au_mouth_1_0,sad,8,sad
koyama_sad_au_mouth_1_0,sad,8,sad
iwagami_sad_au_mouth_3_0,sad,8,sad
henmi_sad_au_mouth_3_0,sad,8,sad
kikuguti_sad_au_1_0,sad,8,sad
sirakura_sad_au_mouth_1_0_130,sad,8,sad
nakatakuma_sad_au_2_0,sad,8,sad
nishio_sur_au_mouth_2_0,sur,8,sur
ota_sur_fr_1_0,sur,8,sur
koyama_sur_fr_2_0,sur,8,sur
iwagami_sur_au_mouth_2_0,sur,8,sur
henmi_sur_au_mouth_2_0,sur,8,sur
kikuguti_sur_fr_2_0,sur,8,sur
sirakura_sur_fr_1_0,sur,8,sur
nakatakuma_sur_au_mouth_2_0,sur,8,sur
nishio_ang_au_cl_2_0,ang,9,ang
ota_ang_au_cl_1_0,ang,9,ang
koyama_ang_au_cl_2_0,ang,9,ang
iwagami_ang_au_cl_1_0,ang,9,sad
henmi_ang_au_cl_4_0,ang,9,ang
kikuguti_ang_au_cl_1_0,ang,9,ang
sirakura_ang_au_cl_3_0,ang,9,ang
nakatakuma_ang_au_cl_2_0,ang,9,ang
nishio_dis_au_cl_3_0,dis,9,dis
ota_dis_au_cl_1_0,dis,9,dis
koyama_dis_au_cl_2_0,dis,9,dis
iwagami_dis_au_cl_1_0,dis,9,dis
henmi_dis_au_cl_1_0,dis,9,sad
kikuguti_dis_au_cl_4_0,dis,9,dis
sirakura_dis_au_cl_1_0,dis,9,sad
nakatakuma_dis_au_cl_1_0,dis,9,dis
nishio_fea_au_mouth_2_0,fea,9,fea
ota_fea_fr_2_0,fea,9,fea
koyama_fea_fr_2_0,fea,9,fea
iwagami_fea_au_mouth_1_0,fea,9,fea
henmi_fea_au_mouth_2_0,fea,9,fea
kikuguti_fea_au_mouth_1_0,fea,9,fea
sirakura_fea_fr_2_0,fea,9,fea
nakatakuma_fea_fr_1_0,fea,9,sur
nishio_hap_au_du_1_0,hap,9,hap
ota_hap_au_du_1_0,hap,9,hap
koyama_hap_au_du_1_0,hap,9,hap
iwagami_hap_au_du_2_0,hap,9,hap
henmi_hap_au_du_1_0,hap,9,hap
kikuguti_hap_au_du_4_0,hap,9,hap
sirakura_hap_au_du_2_0,hap,9,hap
nakatakuma_hap_au_du_1_0,hap,9,hap
nishio_sad_au_1_0,sad,9,sad
ota_sad_au_mouth_1_0,sad,9,sad
koyama_sad_au_mouth_1_0,sad,9,sad
iwagami_sad_au_mouth_3_0,sad,9,sad
henmi_sad_au_mouth_3_0,sad,9,sad
