stimuli,emotion_stimuli,subject,emotion_subject
sirakura_dis_au_cl_1_0,dis,AK,sad
nakatakuma_dis_au_cl_1_0,dis,AK,dis
nishio_fea_au_mouth_2_0,fea,AK,fea
ota_fea_fr_2_0,fea,AK,fea
koyama_fea_fr_2_0,fea,AK,fea
iwagami_fea_au_mouth_1_0,fea,AK,fea
henmi_fea_au_mouth_2_0,fea,AK,fea
kikuguti_fea_au_mouth_1_0,fea,AK,fea
sirakura_fea_fr_2_0,fea,AK,fea
nakatakuma_fea_fr_1_0,fea,AK,sur
nishio_hap_au_du_1_0,hap,AK,hap
ota_hap_au_du_1_0,hap,AK,hap
koyama_hap_au_du_1_0,hap,AK,hap
iwagami_hap_au_du_2_0,hap,AK,hap
henmi_hap_au_du_1_0,hap,AK,hap
kikuguti_hap_au_du_4_0,hap,AK,hap
sirakura_hap_au_du_2_0,hap,AK,hap
nakatakuma_hap_au_du_1_0,hap,AK,hap
nishio_sad_au_1_0,sad,AK,sad
ota_sad_au_mouth_1_0,sad,AK,sad
koyama_sad_au_mouth_1_0,sad,AK,sad
iwagami_sad_au_mouth_3_0,sad,AK,sad
henmi_sad_au_mouth_3_0,sad,AK,sad
kikuguti_sad_au_1_0,sad,AK,sad
sirakura_sad_au_mouth_1_0_130,sad,AK,sad
nakatakuma_sad_au_2_0,sad,AK,sad
nishio_sur_au_mouth_2_0,sur,AK,sur
ota_sur_fr_1_0,sur,AK,sur
koyama_sur_fr_2_0,sur,AK,sur
iwagami_sur_au_mouth_2_0,sur,AK,sur
henmi_sur_au_mouth_2_0,sur,AK,sur
kikuguti_sur_fr_2_0,sur,AK,sur
sirakura_sur_fr_1_0,sur,AK,sur
nakatakuma_sur_au_mouth_2_0,sur,AK,sur
nishio_ang_au_cl_2_0,ang,WY,ang
ota_ang_au_cl_1_0,ang,WY,ang
koyama_ang_au_cl_2_0,ang,WY,ang
iwagami_ang_au_cl_1_0,ang,WY,ang
henmi_ang_au_cl_4_0,ang,WY,ang
kikuguti_ang_au_cl_1_0,ang,WY,ang
sirakura_ang_au_cl_3_0,ang,WY,ang
nakatakuma_ang_au_cl_2_0,ang,WY,dis
nishio_dis_au_cl_3_0,dis,WY,ang
ota_dis_au_cl_1_0,dis,WY,ang
koyama_dis_au_cl_2_0,dis,WY,dis
iwagami_dis_au_cl_1_0,dis,WY,dis
henmi_dis_au_cl_1_0,dis,WY,ang
kikuguti_dis_au_cl_4_0,dis,WY,dis
sirakura_dis_au_cl_1_0,dis,WY,dis
nakatakuma_dis_au_cl_1_0,dis,WY,ang
nishio_fea_au_mouth_2_0,fea,WY,dis
ota_fea_fr_2_0,fea,WY,ang
koyama_fea_fr_2_0,fea,WY,ang
iwagami_fea_au_mouth_1_0,fea,WY,sad
henmi_fea_au_mouth_2_0,fea,WY,dis
kikuguti_fea_au_mouth_1_0,fea,WY,sad
sirakura_fea_fr_2_0,fea,WY,fea
nakatakuma_fea_fr_1_0,fea,WY,dis
nishio_hap_au_du_1_0,hap,WY,hap
ota_hap_au_du_1_0,hap,WY,hap
koyama_hap_au_du_1_0,hap,WY,hap
iwagami_hap_au_du_2_0,hap,WY,hap
henmi_hap_au_du_1_0,hap,WY,hap
kikuguti_hap_au_du_4_0,hap,WY,hap
sirakura_hap_au_du_2_0,hap,WY,hap
nakatakuma_hap_au_du_1_0,hap,WY,hap
nishio_sad_au_1_0,sad,WY,dis
ota_sad_au_mouth_1_0,sad,WY,sad
koyama_sad_au_mouth_1_0,sad,WY,sad
iwagami_sad_au_mouth_3_0,sad,WY,sad
henmi_sad_au_mouth_3_0,sad,WY,sad
kikuguti_sad_au_1_0,sad,WY,sad
sirakura_sad_au_mouth_1_0_130,sad,WY,sad
nakatakuma_sad_au_2_0,sad,WY,dis
nishio_sur_au_mouth_2_0,sur,WY,hap
ota_sur_fr_1_0,sur,WY,sur
koyama_sur_fr_2_0,sur,WY,sur
iwagami_sur_au_mouth_2_0,sur,WY,neu
henmi_sur_au_mouth_2_0,sur,WY,sur
kikuguti_sur_fr_2_0,sur,WY,sur
sirakura_sur_fr_1_0,sur,WY,hap
nakatakuma_sur_au_mouth_2_0,sur,WY,sur
nishio_ang_au_cl_2_0,ang,NY,ang
ota_ang_au_cl_1_0,ang,NY,ang
koyama_ang_au_cl_2_0,ang,NY,ang
iwagami_ang_au_cl_1_0,ang,NY,ang
henmi_ang_au_cl_4_0,ang,NY,ang
kikuguti_ang_au_cl_1_0,ang,NY,ang
sirakura_ang_au_cl_3_0,ang,NY,ang
nakatakuma_ang_au_cl_2_0,ang,NY,ang
nishio_dis_au_cl_3_0,dis,NY,dis
ota_dis_au_cl_1_0,dis,NY,dis
koyama_dis_au_cl_2_0,dis,NY,dis
iwagami_dis_au_cl_1_0,dis,NY,dis
henmi_dis_au_cl_1_0,dis,NY,dis
kikuguti_dis_au_cl_4_0,dis,NY,dis
sirakura_dis_au_cl_1_0,dis,NY,fea
nakatakuma_dis_au_cl_1_0,dis,NY,dis
nishio_fea_au_mouth_2_0,fea,NY,fea
ota_fea_fr_2_0,fea,NY,fea
